City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,queenstown,-31.8976,26.8753,18.47,39,40,3.8,ZA,1715295929
243,lewistown,40.5992,-77.5714,14.34,97,100,2.06,US,1715295658
244,beloyarskiy,63.7119,66.6722,0.56,99,100,3.58,RU,1715295930
245,fale old settlement,-9.3852,-171.2468,29.13,73,87,2.01,TK,1715295930
246,maloye ganyushkino,46.6,49.2667,11.59,32,100,7.5,KZ,1715295931
247,burutu,5.3509,5.5076,27.31,84,100,2.99,NG,1715295767
248,solnechnyy,50.7214,136.6319,8.35,40,3,2.08,RU,1715295931
249,nefteyugansk,61.0998,72.6035,8.87,83,100,9.83,RU,1715295932
250,zaozersk,69.4005,32.4476,-3.37,87,90,2.49,RU,1715295932
251,lamarque,-39.423,-65.7021,12.31,29,64,3.69,AR,1715295933
252,bafq,31.6128,55.4107,17.72,46,0,5.49,IR,1715295933
253,naliya,23.2667,68.8333,26.78,81,0,5.27,IN,1715295701
254,antsiranana,-12.2787,49.2917,24.37,70,33,6.82,MG,1715295934
255,murun-kuren,49.6342,100.1625,4.06,46,1,4.32,MN,1715295935
256,brownfield,33.1812,-102.2744,26.88,33,21,8.04,US,1715295935
257,zakynthos,37.7914,20.8953,17.02,77,100,8.13,GR,1715295788
258,susuman,62.7833,148.1667,-0.57,86,100,1.79,RU,1715295936
259,nuuk,64.1835,-51.7216,1.34,86,20,5.36,GL,1715295670
260,kolpashevo,58.3131,82.9089,10.62,54,100,4.47,RU,1715295937
261,tazacorte,28.629,-17.9293,19.54,93,0,5.66,ES,1715295937
262,ulanhot,46.0833,122.0833,12.77,60,97,7.34,CN,1715295711
263,peace river,56.2501,-117.286,23.17,23,75,7.72,CA,1715295639
264,acarau,-2.8856,-40.12,26.65,88,100,4.37,BR,1715295667
265,manturovo,58.3353,44.7619,-0.68,72,100,5.51,RU,1715295864
266,karratha,-20.7377,116.8463,21.5,31,66,5.64,AU,1715295940
267,ambon,-3.6954,128.1814,29.37,95,40,2.06,ID,1715295940
268,jaynagar,26.5833,86.15,25.83,55,97,4.85,IN,1715295941
269,okhotsk,59.3833,143.3,0.2,96,100,8.19,RU,1715295817
270,nampula,-15.1165,39.2666,19.97,94,20,3.6,MZ,1715295941
271,georgetown,5.4112,100.3354,27.75,91,20,1.03,MY,1715295751
272,whakatane,-37.9585,176.9854,14.38,64,14,4.47,NZ,1715295942
273,east london,-33.0153,27.9116,20.3,85,30,0.77,ZA,1715295943
274,sandacho,34.8833,135.2333,13.64,38,1,0.97,JP,1715295943
275,tafuna,-14.3358,-170.72,27.7,79,100,1.29,AS,1715295944
276,ghat,24.9647,10.1728,24.93,21,60,4.42,LY,1715295742
277,lubz,53.4626,12.0292,11.72,87,100,1.26,DE,1715295945
278,troitsko-pechorsk,62.7084,56.1964,-5.17,96,23,2.24,RU,1715295945
